run layer Value Condition
S1 1 0.0621404 -1
S1 2 -0.598389 -1
S1 3 -0.140391 -1
S1 4 0.398505 -1
S1 5 0.586881 -1
S1 6 0.624281 -1
S1 7 0.241082 -1
S1 8 -0.653249 -1
S1 9 -1.54833 -1
S1 10 -1.08314 -1
S2 1 -0.491369 -1
S2 2 -0.424626 -1
S2 3 -0.420598 -1
S2 4 -0.687752 -1
S2 5 -1.10817 -1
S2 6 -1.5794 -1
S2 7 -2.10817 -1
S2 8 -2.53019 -1
S2 9 -3.15362 -1
S2 10 -1.98792 -1
S3 1 0.0535098 -1
S3 2 -0.144994 -1
S3 3 -0.462601 -1
S3 4 -0.762507 -1
S3 5 -0.748562 -1
S3 6 -0.566168 -1
S3 7 -1.05121 -1
S3 8 -2.18401 -1
S3 9 -2.48562 -1
S3 10 -1.60759 -1
S4 1 -0.182969 -1
S4 2 -0.300921 -1
S4 3 -0.221519 -1
S4 4 -0.20529 -1
S4 5 -0.440736 -1
S4 6 -0.528193 -1
S4 7 -0.760069 -1
S4 8 -1.61415 -1
S4 9 -2.54776 -1
S4 10 -1.81444 -1
S5 1 -0.0310702 -1
S5 2 -0.63061 -1
S5 3 -0.510932 -1
S5 4 -0.313399 -1
S5 5 -0.377445 -1
S5 6 -0.618527 -1
S5 7 -1.10932 -1
S5 8 -1.76481 -1
S5 9 -2.18757 -1
S5 10 -1.88924 -1
S6 1 0.018412 -1
S6 2 -0.672612 -1
S6 3 -0.704833 -1
S6 4 -0.351351 -1
S6 5 -0.169735 -1
S6 6 -0.155351 -1
S6 7 -0.596087 -1
S6 8 -1.67798 -1
S6 9 -2.89068 -1
S6 10 -2.14298 -1
S7 1 -0.23015 -1
S7 2 -0.175489 -1
S7 3 -0.128884 -1
S7 4 -0.121909 -1
S7 5 -0.757768 -1
S7 6 -1.67261 -1
S7 7 -2.41542 -1
S7 8 -2.45313 -1
S7 9 -2.40104 -1
S7 10 -1.25029 -1
S8 1 -0.502301 -1
S8 2 -0.826237 -1
S8 3 -0.753165 -1
S8 4 -0.181139 -1
S8 5 -0.175489 -1
S8 6 -0.856157 -1
S8 7 -2.07192 -1
S8 8 -2.54399 -1
S8 9 -2.35788 -1
S8 10 -1.16024 -1
S1 1 3.15305 1
S1 2 3.07307 1
S1 3 4.52014 1
S1 4 6.64922 1
S1 5 8.74051 1
S1 6 13.8441 1
S1 7 18.8544 1
S1 8 17.9172 1
S1 9 15.1191 1
S1 10 6.90679 1
S2 1 1.93038 1
S2 2 3.85213 1
S2 3 4.84753 1
S2 4 5.80449 1
S2 5 8.37169 1
S2 6 14.5282 1
S2 7 19.9206 1
S2 8 17.6354 1
S2 9 13.2739 1
S2 10 5.33774 1
S3 1 2.18987 1
S3 2 3.70196 1
S3 3 4.21864 1
S3 4 5.89879 1
S3 5 9.51726 1
S3 6 15.7169 1
S3 7 20.7399 1
S3 8 18.8741 1
S3 9 14.6398 1
S3 10 6.39873 1
S4 1 2.01956 1
S4 2 3.71807 1
S4 3 4.64787 1
S4 4 6.23002 1
S4 5 10.8395 1
S4 6 18.1059 1
S4 7 22.8423 1
S4 8 20.3163 1
S4 9 15.4333 1
S4 10 6.49885 1
S5 1 2.24108 1
S5 2 3.14327 1
S5 3 3.80725 1
S5 4 5.76883 1
S5 5 10.2906 1
S5 6 16.3711 1
S5 7 20.6951 1
S5 8 18.1259 1
S5 9 13.2699 1
S5 10 5.39212 1
S6 1 2.69333 1
S6 2 3.59436 1
S6 3 4.17722 1
S6 4 6.45313 1
S6 5 11.2037 1
S6 6 17.0219 1
S6 7 21.2123 1
S6 8 18.4911 1
S6 9 14.0449 1
S6 10 6.31041 1
S7 1 2.552361 1
S7 2 3.49022 1
S7 3 4.40794 1
S7 4 6.68545 1
S7 5 10.6053 1
S7 6 16.5063 1
S7 7 21.1496 1
S7 8 19.1466 1
S7 9 14.7842 1
S7 10 6.79085 1
S8 1 1.82854 1
S8 2 3.08516 1
S8 3 4.61047 1
S8 4 6.51581 1
S8 5 8.60184 1
S8 6 13.3262 1
S8 7 18.309 1
S8 8 17.2823 1
S8 9 13.8757 1
S8 10 6.38032 1
